OrderID,Seq,OrderDate,ProductID,Qty,Amt,CustomerID
241,8,2016-02-01,p1012811,2,5000,c206248
241,9,2016-02-01,p1012751,2,2700,c206248
241,11,2016-02-01,p1144371,5,14250,c206248
241,12,2016-02-01,p1179241,1,1500,c206248
241,13,2016-02-01,p1013161,4,12000,c206248
5,1,2016-02-01,p1072601,1,4150,c091352
11,1,2016-02-01,p1097591,1,600,c369132
11,3,2016-02-01,p1201601,1,2870,c369132
11,4,2016-02-01,p1002841,1,14000,c369132
25,1,2016-02-01,p1013161,2,6000,c083107
25,3,2016-02-01,p1012761,1,1900,c083107
25,7,2016-02-01,p1005771,2,3700,c083107
25,8,2016-02-01,p1012581,1,1050,c083107
25,9,2016-02-01,p1012751,2,2700,c083107
25,17,2016-02-01,p1005621,2,5800,c083107
27,7,2016-02-01,p1005891,2,3900,c083107
29,4,2016-02-01,p1012751,1,1350,c277968
33,5,2016-02-01,p1144371,1,2850,c222390
35,7,2016-02-01,p1012761,1,1900,c280766
35,8,2016-02-01,p1001771,1,3300,c280766
39,2,2016-02-01,p1194801,1,7400,c181972
39,3,2016-02-01,p1012751,1,1350,c181972
41,2,2016-02-01,p1005771,3,5550,c293458
41,3,2016-02-01,p1005621,1,2900,c293458
45,5,2016-02-01,p1012761,1,1900,c092647
45,6,2016-02-01,p1012811,1,2500,c092647
45,7,2016-02-01,p1012581,1,1050,c092647
45,9,2016-02-01,p1012751,1,1350,c092647
49,1,2016-02-01,p1002841,1,14000,c336439
49,2,2016-02-01,p1012811,1,2500,c336439
49,4,2016-02-01,p1013161,1,3000,c336439
49,7,2016-02-01,p1089531,1,2400,c336439
49,8,2016-02-01,p1012951,1,3000,c336439
51,6,2016-02-01,p1012581,1,1050,c337495
53,1,2016-02-01,p1012761,1,1900,c309773
57,3,2016-02-01,p1005771,1,1850,c217049
57,4,2016-02-01,p1001771,1,3300,c217049
57,5,2016-02-01,p1012751,1,1350,c217049
57,7,2016-02-01,p1175481,1,1200,c217049
61,1,2016-02-01,p1207281,1,2600,c084202
65,3,2016-02-01,p1005771,1,1850,c353494
69,3,2016-02-01,p1005771,1,1850,c058487
69,4,2016-02-01,p1097591,1,600,c058487
69,5,2016-02-01,p1012951,1,3000,c058487
69,6,2016-02-01,p1012761,1,1900,c058487
79,1,2016-02-01,p1072601,1,4150,c110521
81,1,2016-02-01,p1072601,1,4150,c083862
89,3,2016-02-01,p1207281,1,2600,c226168
91,1,2016-02-01,p1012811,1,2500,c349634
91,3,2016-02-01,p1133371,1,1000,c349634
91,4,2016-02-01,p1246581,1,1136,c349634
101,5,2016-02-01,p1179241,1,1500,c317858
101,6,2016-02-01,p1089531,1,2400,c317858
101,8,2016-02-01,p1005771,1,1850,c317858
101,9,2016-02-01,p1133371,2,2000,c317858
103,1,2016-02-01,p1012811,1,2500,c280471
103,2,2016-02-01,p1006411,2,2182,c280471
103,7,2016-02-01,p1100371,1,400,c280471
105,1,2016-02-01,p1162631,1,4150,c341672
107,2,2016-02-01,p1194801,1,7400,c312420
109,6,2016-02-01,p1072601,1,4150,c082866
109,7,2016-02-01,p1012951,1,3000,c082866
109,8,2016-02-01,p1006411,1,1091,c082866
109,9,2016-02-01,p1175481,1,1200,c082866
111,3,2016-02-01,p1012751,1,1350,c299230
