OrderID,Seq,OrderDate,ProductID,Qty,Amt,CustomerID
89,2,2016-03-01,p1175481,1,1300,c083132
91,1,2016-03-01,p1133371,1,1000,c083132
91,2,2016-03-01,p1030071,1,4650,c083132
91,3,2016-03-01,p1097821,2,2000,c083132
91,4,2016-03-01,p1162631,1,4600,c083132
91,7,2016-03-01,p1097831,1,1455,c083132
93,2,2016-03-01,p1194801,1,6800,c290936
93,10,2016-03-01,p1097831,1,1455,c290936
93,12,2016-03-01,p1097591,1,600,c290936
99,2,2016-03-01,p1012581,1,1050,c293590
99,3,2016-03-01,p1012761,1,1900,c293590
101,3,2016-03-01,p1133371,1,1000,c274203
103,1,2016-03-01,p1012761,2,3800,c206248
103,7,2016-03-01,p1175481,3,3900,c206248
103,9,2016-03-01,p1144371,3,8550,c206248
105,4,2016-03-01,p1133371,2,2000,c315433
105,5,2016-03-01,p1246581,1,1136,c315433
105,6,2016-03-01,p1255281,1,1182,c315433
107,1,2016-03-01,p1127201,1,3727,c118079
107,2,2016-03-01,p1006411,1,1091,c118079
107,3,2016-03-01,p1246581,2,2272,c118079
107,4,2016-03-01,p1002841,1,12800,c118079
109,2,2016-03-01,p1162631,1,4140,c160648
25,1,2016-03-01,p1178011,1,8800,c084130
27,5,2016-03-01,p1012951,1,3000,c305167
27,6,2016-03-01,p1097591,1,600,c305167
29,1,2016-03-01,p1178011,1,8800,c098413
31,1,2016-03-01,p1175481,2,2600,c037998
31,3,2016-03-01,p1005891,1,1950,c037998
35,1,2016-03-01,p1231011,2,1818,c068640
39,2,2016-03-01,p1072601,1,4600,c272968
39,5,2016-03-01,p1005771,1,1850,c272968
39,11,2016-03-01,p1100371,1,400,c272968
41,2,2016-03-01,p1144371,1,2850,c187241
41,5,2016-03-01,p1159481,1,1800,c187241
51,1,2016-03-01,p1012761,2,3800,c041694
53,1,2016-03-01,p1012641,1,1550,c136916
53,2,2016-03-01,p1175481,1,1300,c136916
53,5,2016-03-01,p1097831,1,1455,c136916
53,6,2016-03-01,p1052661,1,1455,c136916
53,7,2016-03-01,p1144371,1,2850,c136916
55,10,2016-03-01,p1097821,1,1000,c365376
55,13,2016-03-01,p1006411,1,1091,c365376
55,14,2016-03-01,p1097831,1,1455,c365376
